sample_id,error_type,severity_level,severity_ab,huber_ab,gradient_ab,lpips_vgg,convnext_perceptual,dinov3_perceptual,gradient_norm_huber_ab,gradient_norm_gradient_ab,gradient_norm_lpips_vgg,gradient_norm_convnext_perceptual,gradient_norm_dinov3_perceptual,gradient_rms_huber_ab,gradient_rms_gradient_ab,gradient_rms_lpips_vgg,gradient_rms_convnext_perceptual,gradient_rms_dinov3_perceptual
im102,color_bleeding,0.25,0.4809105396270752,0.04263253137469292,0.10895073413848877,0.0025387622881680727,2.9171929359436035,0.0004451161657925695,0.00036037954851053655,0.002693749498575926,0.00023933450574986637,14.107844352722168,6.379542173817754e-05,9.954172810466844e-07,7.440502031386131e-06,6.610744094359688e-07,0.038967788219451904,1.7621161418901465e-07
im102,color_bleeding,0.5,0.9618210792541504,0.16323183476924896,0.21790115535259247,0.008665014058351517,17.445627212524414,0.0015930840745568275,0.0006433445960283279,0.0026933029294013977,0.00039269356057047844,40.352970123291016,0.0003977821324951947,1.7770051954357768e-06,7.439268756570527e-06,1.0846729310287628e-06,0.11146038770675659,1.0987282621499617e-06
im102,color_bleeding,0.75,1.442731499671936,0.3316671848297119,0.32685160636901855,0.0170236025005579,52.8240852355957,0.003441351233050227,0.0008198113646358252,0.002694037975743413,0.0005153046222403646,56.83737564086914,0.00016605717246420681,2.264430349896429e-06,7.4412987487448845e-06,1.4233413594411104e-06,0.15699255466461182,4.5867244580222177e-07
im102,color_bleeding,1.0,1.9236420392990112,0.5266716480255127,0.43580204248428345,0.0270349383354187,96.91221618652344,0.005942204035818577,0.0009439859422855079,0.002691832138225436,0.0006299837259575725,69.41316223144531,0.00026719796005636454,2.6074174002133077e-06,7.4352064984850585e-06,1.7401006289219367e-06,0.1917285919189453,7.380370448117901e-07
im102,subtle_color_error,0.25,1.2326946258544922,0.11539500206708908,0.052484702318906784,0.0017442354001104832,0.8491802215576172,6.415968528017402e-05,0.0005934286746196449,0.0026004528626799583,0.0001130716991610825,7.3693695068359375,3.7534711736952886e-05,1.639130687181023e-06,7.182803983596386e-06,3.123194005638652e-07,0.02035519853234291,1.036759798012099e-07
im102,subtle_color_error,0.5,2.4653892517089844,0.4602760672569275,0.10496920347213745,0.006747834384441376,3.1437971591949463,0.000245156028540805,0.0011645539198070765,0.0026023415848612785,0.00022059801267459989,12.125370979309082,4.703164449892938e-05,3.216655841242755e-06,7.188020845205756e-06,6.093216597946594e-07,0.03349192440509796,1.2990778941457393e-07
im102,subtle_color_error,0.75,3.6980838775634766,0.9868121147155762,0.157453715801239,0.014547916129231453,5.494270324707031,0.0005463977577164769,0.0015310852322727442,0.002603040309622884,0.0003253938048146665,13.173066139221191,7.101106166373938e-05,4.2290657802368514e-06,7.189950792962918e-06,8.987818773675826e-07,0.03638579696416855,1.961421958185383e-07
im102,subtle_color_error,1.0,4.930778503417969,1.608379602432251,0.2099381983280182,0.02508191019296646,7.735283374786377,0.0009813691722229123,0.0017483760602772236,0.002600295003503561,0.000430972344474867,12.858162879943848,0.00015970435924828053,4.829252247873228e-06,7.182367880886886e-06,1.1904040775334579e-06,0.03551599383354187,4.411251381952752e-07
im102,semantically_wrong_color,0.25,5.560113906860352,1.8297500610351562,0.22592857480049133,0.042208481580019,42.52847671508789,0.004857621621340513,0.0018882580334320664,0.0029866464901715517,0.0005490681505762041,163.1661834716797,0.00020427758863661438,5.215625151322456e-06,8.249523489212152e-06,1.5166008324740687e-06,0.45068714022636414,5.642424412144464e-07
im102,semantically_wrong_color,0.5,11.120227813720703,4.988337516784668,0.4518572688102722,0.13119803369045258,187.6995849609375,0.014374625869095325,0.002168399980291724,0.002986685838550329,0.0008344373782165349,83.09642791748047,0.0005535634700208902,5.9894150581385475e-06,8.249631719081663e-06,2.3048294224281562e-06,0.22952362895011902,1.529017595203186e-06
im102,semantically_wrong_color,0.75,16.680343627929688,8.304132461547852,0.6777859330177307,0.2287471741437912,281.0706787109375,0.025692028924822807,0.0023119538091123104,0.002986788982525468,0.0009026005864143372,105.49884796142578,0.0007595691131427884,6.385930646501947e-06,8.249916390923318e-06,2.4931052848842228e-06,0.2914021611213684,2.0980330646125367e-06
im102,semantically_wrong_color,1.0,22.240455627441406,11.674927711486816,0.9037145376205444,0.31897100806236267,365.2212829589844,0.037462763488292694,0.002385717583820224,0.0029866269323974848,0.0009743188857100904,101.68428039550781,0.0009539925376884639,6.589675649593119e-06,8.249468919530045e-06,2.691201189009007e-06,0.28086578845977783,2.635056944200187e-06
im102,plausible_alternative_colorization,0.25,5.560113906860352,1.8897852897644043,0.2405303716659546,0.018558423966169357,70.7486572265625,0.002779977163299918,0.0017649093642830849,0.0031741135753691196,0.0005482985870912671,140.8291015625,0.00024187492090277374,4.8749193410912994e-06,8.767332474235445e-06,1.51447511598235e-06,0.388989120721817,6.680913884338224e-07
im102,plausible_alternative_colorization,0.5,11.120227813720703,4.907865524291992,0.48106077313423157,0.07062120735645294,195.3480987548828,0.009461977519094944,0.001969371922314167,0.003174095181748271,0.0009274610783904791,89.6444320678711,0.0017766974633559585,5.4396728046413045e-06,8.767281542532146e-06,2.5617734991101315e-06,0.24761009216308594,4.907479706162121e-06
im102,plausible_alternative_colorization,0.75,16.680341720581055,8.039966583251953,0.7215911149978638,0.16504685580730438,353.626953125,0.018948495388031006,0.0021097867283970118,0.003174376906827092,0.0011594669194892049,128.96238708496094,0.0004265852621756494,5.827517270518001e-06,8.768060069996864e-06,3.202605057595065e-06,0.35621166229248047,1.178286538561224e-06
im102,plausible_alternative_colorization,1.0,22.240455627441406,11.22801399230957,0.9621215462684631,0.2917499244213104,412.96258544921875,0.030279261991381645,0.002205495722591877,0.003174187382683158,0.001281100558117032,142.7144317626953,0.00135874655097723,6.0918787312402856e-06,8.767537110543344e-06,3.5385739920457127e-06,0.39419662952423096,3.753042619791813e-06
im103,wrong_hue,0.25,5.236431121826172,1.9785512685775757,0.4005362391471863,0.022111447528004646,47.04484176635742,0.0025160773657262325,0.0018537986325100064,0.0029693455435335636,0.000309398805256933,40.77171325683594,4.905934474663809e-05,5.120443802297814e-06,8.201734999602195e-06,8.546015237698157e-07,0.11261700838804245,1.3550857147492934e-07
im103,wrong_hue,0.5,10.472862243652344,5.214681625366211,0.8010722398757935,0.06497417390346527,106.62584686279297,0.009326876141130924,0.0020687619689852,0.002969444263726473,0.0004937154008075595,29.08505630493164,9.98975447146222e-05,5.7142015066347085e-06,8.202007848012727e-06,1.3637089750773157e-06,0.08033687621355057,2.7593060281105863e-07
im103,wrong_hue,0.75,15.709295272827148,8.557928085327148,1.2016083002090454,0.12888123095035553,154.91592407226562,0.020380068570375443,0.0021789853926748037,0.002969444030895829,0.0006864567403681576,39.065757751464844,0.00018557500152383,6.0186534938111436e-06,8.202007848012727e-06,1.8960868146677967e-06,0.10790492594242096,5.125833695274196e-07
im103,wrong_hue,1.0,20.945724487304688,11.9486665725708,1.6021442413330078,0.2280762940645218,194.60910034179688,0.04051537066698074,0.002264442155137658,0.0029694095719605684,0.0015379132237285376,73.41045379638672,0.0006088499794714153,6.254696927499026e-06,8.20191235106904e-06,4.247925517120166e-06,0.20276965200901031,1.6817264167912072e-06
im103,low_saturation,0.25,4.4246416091918945,1.4695453643798828,0.208756685256958,0.007192164659500122,26.04725456237793,0.00103612313978374,0.0016755126416683197,0.0028315025847405195,0.0001424892689101398,26.74825668334961,3.0976440029917285e-05,4.627993803296704e-06,7.820995051588397e-06,3.9357470882350754e-07,0.0738823190331459,8.556113328950232e-08
im103,low_saturation,0.5,8.849283218383789,4.075667381286621,0.4175132215023041,0.02495572715997696,80.39669036865234,0.0029483232647180557,0.0020288918167352676,0.0028308548498898745,0.0002838494547177106,52.97140884399414,5.077674359199591e-05,5.604074885923183e-06,7.81920607551001e-06,7.840307603146357e-07,0.14631423354148865,1.402522684657015e-07
im103,low_saturation,0.75,13.27392578125,6.822238445281982,0.6262698173522949,0.05696193501353264,107.68377685546875,0.006313463672995567,0.002135253045707941,0.0028308704495429993,0.0004413898859638721,67.70365142822266,7.301833102246746e-05,5.897859409742523e-06,7.819248821760993e-06,1.2191788982818252e-06,0.18700668215751648,2.0168656078567437e-07
im103,low_saturation,1.0,17.698566436767578,9.6106595993042,0.8350262641906738,0.11133506894111633,81.50952911376953,0.012532935477793217,0.002207401907071471,0.002830870682373643,0.0006053234101273119,34.75627517700195,9.951072570402175e-05,6.0971442508162e-06,7.819248821760993e-06,1.6719855011615437e-06,0.09600155055522919,2.7486214548844146e-07
im103,color_bleeding,0.25,0.47587454319000244,0.02427629567682743,0.1525571197271347,0.0017953614005818963,3.9636759757995605,0.0003453913959674537,0.0002721862692851573,0.0030362154357135296,9.746225987328216e-05,5.922921180725098,2.315212259418331e-05,7.51815491639718e-07,8.38643973111175e-06,2.6920397999674606e-07,0.01635991409420967,6.394930807118726e-08
im103,color_bleeding,0.5,0.9517490267753601,0.09699464589357376,0.3051137924194336,0.006897888612002134,20.526662826538086,0.0016401244793087244,0.0005403582472354174,0.003035408677533269,0.00018596048175822943,15.557467460632324,5.703771239495836e-05,1.4925428786227712e-06,8.384210559597705e-06,5.136481036061014e-07,0.042971838265657425,1.575459123159817e-07
im103,color_bleeding,0.75,1.4276236295700073,0.21361766755580902,0.4576704800128937,0.015000054612755775,53.53806686401367,0.0037569960113614798,0.0007635246147401631,0.0030356694478541613,0.00026321952464058995,25.670970916748047,7.013270078459755e-05,2.108958824464935e-06,8.38493178889621e-06,7.270481319210376e-07,0.07090671360492706,1.9371606185814016e-07
im103,color_bleeding,1.0,1.9034981727600098,0.36356645822525024,0.6102272272109985,0.025850137695670128,104.61009979248047,0.006388664711266756,0.0009429447236470878,0.00303502194583416,0.0003463589819148183,36.03578567504883,8.498351235175505e-05,2.6045413505926263e-06,8.383142812817823e-06,9.5669065558468e-07,0.0995357409119606,2.3473600663237448e-07
im103,subtle_color_error,0.25,1.00954270362854,0.0849924236536026,0.06137186288833618,0.0009859699057415128,1.8112056255340576,0.00014008619473315775,0.000509289966430515,0.0031184605322778225,5.62086897843983e-05,4.232402801513672,1.3214274076744914e-05,1.406728188158013e-06,8.613611498731188e-06,1.552560320305929e-07,0.011690471321344376,3.649962110330307e-08
im103,subtle_color_error,0.5,2.01908540725708,0.3399699330329895,0.12274254858493805,0.003619383554905653,8.732282638549805,0.0004731148947030306,0.0010185802821069956,0.003117938293144107,0.00010602686961647123,13.343493461608887,2.2337590053211898e-05,2.8134572858107276e-06,8.612169040134177e-06,2.9286061931088625e-07,0.03685653954744339,6.16994597635312e-08
im103,subtle_color_error,0.75,3.028627872467041,0.7638278007507324,0.1841132640838623,0.007565044332295656,30.876388549804688,0.0009325208375230432,0.0015033227391541004,0.0031179666984826326,0.0001541330711916089,40.56160354614258,2.9249131330288947e-05,4.152381734456867e-06,8.612247256678529e-06,4.2573645941956784e-07,0.11203666031360626,8.079007329797605e-08
