sample_id,severity_level,loss,severity_difference,difference,semantic_greater
im111,0.5,dinov3_perceptual,9.5367431640625e-07,-0.006317652761936188,0.0
im111,0.75,huber_ab,0.0,0.1308283805847168,1.0
im111,0.75,gradient_ab,0.0,-0.8279228210449219,0.0
im111,0.75,lpips_vgg,0.0,-0.03177889436483383,0.0
im111,0.75,convnext_perceptual,0.0,-49.66737365722656,0.0
im111,0.75,dinov3_perceptual,0.0,-0.013252494856715202,0.0
im111,1.0,huber_ab,1.9073486328125e-06,0.18109607696533203,1.0
im111,1.0,gradient_ab,1.9073486328125e-06,-1.103897213935852,0.0
im111,1.0,lpips_vgg,1.9073486328125e-06,-0.048640161752700806,0.0
im111,1.0,convnext_perceptual,1.9073486328125e-06,-85.78326416015625,0.0
im111,1.0,dinov3_perceptual,1.9073486328125e-06,-0.017535075545310974,0.0
im114,0.25,huber_ab,4.76837158203125e-07,0.08954644203186035,1.0
im114,0.25,gradient_ab,4.76837158203125e-07,-0.16956040263175964,0.0
im114,0.25,lpips_vgg,4.76837158203125e-07,-0.031031807884573936,0.0
im114,0.25,convnext_perceptual,4.76837158203125e-07,-257.6245231628418,0.0
im114,0.25,dinov3_perceptual,4.76837158203125e-07,-0.00461121485568583,0.0
im114,0.5,huber_ab,0.0,0.22197580337524414,1.0
im114,0.5,gradient_ab,0.0,-0.33912086486816406,0.0
im114,0.5,lpips_vgg,0.0,-0.07256560772657394,0.0
im114,0.5,convnext_perceptual,0.0,-379.69464111328125,0.0
im114,0.5,dinov3_perceptual,0.0,-0.014190373942255974,0.0
im114,0.75,huber_ab,1.9073486328125e-06,0.2287430763244629,1.0
im114,0.75,gradient_ab,1.9073486328125e-06,-0.5086812973022461,0.0
im114,0.75,lpips_vgg,1.9073486328125e-06,-0.06330782175064087,0.0
im114,0.75,convnext_perceptual,1.9073486328125e-06,-328.3524475097656,0.0
im114,0.75,dinov3_perceptual,1.9073486328125e-06,-0.019949544221162796,0.0
im114,1.0,huber_ab,0.0,0.23583412170410156,1.0
im114,1.0,gradient_ab,0.0,-0.6782416701316833,0.0
im114,1.0,lpips_vgg,0.0,-0.02611459791660309,0.0
im114,1.0,convnext_perceptual,0.0,-244.827392578125,0.0
im114,1.0,dinov3_perceptual,0.0,-0.023840297013521194,0.0
im115,0.25,huber_ab,0.0,-0.08924984931945801,0.0
im115,0.25,gradient_ab,0.0,-0.28657805919647217,0.0
